date,Amount to get,Amount Recieved in Bank,Difference
2026-03-04,9099.0,9098.0,-1.0
2026-02-25,9811.0,9811.0,0.0
2026-02-18,9538.0,9538.0,0.0
2026-02-11,7224.0,7224.0,0.0
2026-02-04,10903.0,10903.0,0.0
2026-01-28,7920.0,7920.0,0.0
2026-01-21,8433.0,8433.0,0.0
2026-01-14,12476.0,12476.0,0.0
2026-01-07,4943.0,4943.0,0.0
2026-01-03,11548.0,11548.0,0.0
2026-01-01,,13399.0,13399.0
2025-12-24,14504.0,14504.0,0.0
2025-12-17,7907.0,7907.0,0.0
2025-12-10,5186.0,5186.0,0.0
2025-12-04,9248.0,9248.0,0.0
2025-11-26,8640.0,8640.0,0.0
2025-11-19,7491.0,7491.0,0.0
2025-11-12,10793.0,10793.0,0.0
2025-11-05,8350.0,8350.0,0.0
2025-10-29,9147.0,9147.0,0.0
2025-10-22,,8462.0,8462.0
2025-10-15,9020.0,9020.0,0.0
2025-10-08,8706.0,8706.0,0.0
2025-10-04,6658.0,,-6658.0
2025-10-03,,6658.0,6658.0
2025-10-01,6032.0,6032.0,0.0
2025-09-24,9536.0,9536.0,0.0
2025-09-17,9215.0,9215.0,0.0
2025-09-10,15731.0,15731.0,0.0
2025-09-05,12855.0,,-12855.0
2025-09-04,,12855.0,12855.0
2025-08-27,18687.0,18687.0,0.0
2025-08-20,9084.0,9084.0,0.0
2025-08-13,7514.0,7514.0,0.0
2025-08-04,,7829.0,7829.0
2025-07-30,14193.0,14193.0,0.0
2025-07-23,14599.0,14599.0,0.0
2025-07-17,10055.0,,-10055.0
2025-07-16,,10055.0,10055.0
2025-07-09,6212.0,6212.0,0.0
2025-07-05,14023.0,,-14023.0
2025-07-04,,14023.0,14023.0
2025-06-25,12330.0,12330.0,0.0
2025-06-18,11401.0,11401.0,0.0
2025-06-11,6271.0,6271.0,0.0
2025-06-04,15019.0,15019.0,0.0
2025-05-28,14008.0,14008.0,0.0
2025-05-21,11236.0,11236.0,0.0
2025-05-14,11342.0,11342.0,0.0
2025-05-07,7565.0,7565.0,0.0
2025-05-05,6465.0,6465.0,0.0
2025-04-30,14680.0,14680.0,0.0
2025-04-23,11825.0,11825.0,0.0
2025-04-16,13042.0,,-13042.0
2025-04-15,,13042.0,13042.0
2025-04-09,7898.0,7898.0,0.0
2025-04-04,14087.0,14087.0,0.0
2025-03-26,9835.0,9835.0,0.0
2025-03-19,8268.0,8268.0,0.0
2025-03-12,11816.0,11816.0,0.0
2025-03-05,9222.0,9222.0,0.0
2025-02-26,7235.0,7235.0,0.0
2025-02-20,9907.0,,-9907.0
2025-02-19,,9907.0,9907.0
2025-02-12,12727.0,12727.0,0.0
2025-02-05,7740.0,7740.0,0.0
2025-01-29,6891.0,6891.0,0.0
2025-01-22,8137.0,8137.0,0.0
2025-01-15,7824.0,7824.0,0.0
2025-01-08,7276.0,7276.0,0.0
2025-01-04,6961.0,6961.0,0.0
2025-01-02,10424.0,10424.0,0.0
2024-12-25,9009.0,9009.0,0.0
2024-12-18,9285.0,9285.0,0.0
2024-12-11,12737.0,12737.0,0.0
2024-12-04,9188.0,9188.0,0.0
2024-11-27,6281.0,6281.0,0.0
2024-11-20,8141.0,8141.0,0.0
2024-11-13,13438.0,13438.0,0.0
2024-11-05,6877.0,6877.0,0.0
2024-10-30,3776.0,3776.0,0.0
2024-10-24,8301.0,,-8301.0
2024-10-23,,8301.0,8301.0
2024-10-16,7868.0,7868.0,0.0
2024-10-09,6200.0,6200.0,0.0
2024-10-04,9850.0,9850.0,0.0
2024-09-25,12757.0,,-12757.0
2024-09-24,,12757.0,12757.0
2024-09-18,7456.0,7456.0,0.0
2024-09-11,10158.0,10158.0,0.0
2024-09-04,5949.0,5949.0,0.0
2024-08-28,10543.0,10543.0,0.0
2024-08-21,9113.0,9113.0,0.0
2024-08-14,10814.0,10814.0,0.0
2024-08-08,2345.0,2345.0,0.0
2024-08-05,,8304.0,8304.0
2024-07-31,,6632.0,6632.0
2024-07-24,,11925.0,11925.0
2024-07-17,,9655.0,9655.0
2024-07-10,,7169.0,7169.0
2024-07-04,,8799.0,8799.0
2024-06-26,,9527.0,9527.0
2024-06-19,,6420.0,6420.0
2024-06-12,,10126.0,10126.0
2024-06-05,,6228.0,6228.0
2024-05-29,,10787.0,10787.0
2024-05-22,,14506.0,14506.0
2024-05-17,,201.0,201.0
2024-05-15,,7391.0,7391.0
2024-05-08,,5882.0,5882.0
2024-05-04,,7428.0,7428.0
2024-05-01,,16316.0,16316.0
2024-04-24,,9707.0,9707.0
2024-04-17,,7042.0,7042.0
2024-04-10,,9234.0,9234.0
2024-04-04,,10469.0,10469.0
2024-03-27,,5913.0,5913.0
2024-03-20,,6909.0,6909.0
2024-03-13,,7965.0,7965.0
2024-03-05,,6558.0,6558.0
2024-02-28,,2779.0,2779.0
2024-02-21,,886.0,886.0
2024-02-21,,5617.0,5617.0
2024-02-14,,1871.0,1871.0
2024-02-14,,1933.0,1933.0
2024-02-08,,598.0,598.0
2024-02-08,,4384.0,4384.0
2024-02-04,,464.0,464.0
2024-02-03,,3714.0,3714.0
2024-01-30,,871.0,871.0
2024-01-30,,3468.0,3468.0
2024-01-23,,1499.0,1499.0
2024-01-23,,5208.0,5208.0
2024-01-17,,775.0,775.0
2024-01-17,,4582.0,4582.0
2024-01-10,,997.0,997.0
2024-01-10,,3074.0,3074.0
2024-01-03,,690.0,690.0
2024-01-03,,11312.0,11312.0
